Player,Pos,Off_Def,School,Round,Update_Rounds,Drafted,Year,game,completion_per,yards,TD,int,yards_per_g,qb_rating
Kyle McCord,QB,Offense,Syracuse,6,6,1,2025,13,66,4779,34,12,367.6,148.8
Cameron Ward,QB,Offense,Miami,1,1,1,2025,13,67.2,4313,39,7,331.8,172.2
Jaxson Dart,QB,Offense,Mississippi,1,1,1,2025,13,69.3,4279,29,6,329.2,180.7
Shedeur Sanders,QB,Offense,Colorado,5,5,1,2025,13,74,4134,37,10,318,168.2
Will Howard,QB,Offense,Ohio St.,6,6,1,2025,16,73,4010,35,10,250.6,175.3
Dillon Gabriel,QB,Offense,Oregon,3,3,1,2025,14,72.9,3857,30,6,275.5,164.9
Seth Henigan,QB,Offense,Memphis,,0,0,2025,13,64.8,3502,25,6,269.4,141.2
Quinn Ewers,QB,Offense,Texas,7,7,1,2025,14,65.8,3472,31,12,248,149
Tyler Shough,QB,Offense,Louisville,2,2,1,2025,12,62.7,3195,23,6,266.3,148.1
Kurtis Rourke,QB,Offense,Indiana,7,7,1,2025,12,69.4,3042,29,5,253.5,176
Riley Leonard,QB,Offense,Notre Dame,6,6,1,2025,16,66.7,2861,21,8,178.8,139.6
Jalen Milroe,QB,Offense,Alabama,3,3,1,2025,13,64.3,2844,16,11,218.8,148.8
Max Brosmer,QB,Offense,Minnesota,,0,0,2025,13,66.5,2828,18,6,217.5,137.2
Brady Cook,QB,Offense,Missouri,,0,0,2025,12,62.6,2535,11,2,211.3,139
Graham Mertz,QB,Offense,Florida,6,6,1,2025,5,76.6,791,6,2,158.2,164.1
Michael Penix Jr.,QB,Offense,Washington,1,1,1,2024,15,65.4,4903,36,11,326.9,157.1
Bo Nix,QB,Offense,Oregon,1,1,1,2024,14,77.4,4508,45,3,322,188.3
Jayden Daniels,QB,Offense,LSU,1,1,1,2024,12,72.2,3812,40,4,317.7,208
Caleb Williams,QB,Offense,USC,1,1,1,2024,12,68.6,3633,30,5,302.8,170.1
Drake Maye,QB,Offense,North Carolina,1,1,1,2024,12,63.3,3608,24,9,300.7,149
Austin Reed,QB,Offense,Western Kentucky,,0,0,2024,12,61.5,3340,31,11,278.3,138.3
Spencer Rattler,QB,Offense,South Carolina,5,5,1,2024,12,68.9,3186,19,8,265.5,147.7
J.J. McCarthy,QB,Offense,Michigan,1,1,1,2024,15,72.3,2991,22,4,199.4,167.4
Joe Milton,QB,Offense,Tennessee,6,6,1,2024,12,64.7,2813,20,5,234.4,147.3
Jordan Travis,QB,Offense,Florida St.,5,5,1,2024,11,63.9,2756,20,2,250.5,154.5
Devin Leary,QB,Offense,Kentucky,6,6,1,2024,13,56.3,2746,25,12,211.2,134.3
Sam Hartman,QB,Offense,Notre Dame,,0,0,2024,12,63.5,2689,24,8,224.1,159.5
Michael Pratt,QB,Offense,Tulane,7,7,1,2024,11,65.4,2406,22,5,218.7,158.9
Kedon Slovis,QB,Offense,BYU,,0,0,2024,8,57.5,1716,12,6,214.5,122.1
Stetson Bennett,QB,Offense,Georgia,4,4,1,2023,15,68.3,4128,27,7,275.2,161.2
Clayton Tune,QB,Offense,Houston,5,5,1,2023,13,67.3,4074,40,10,313.4,158.9
Max Duggan,QB,Offense,TCU,7,7,1,2023,15,63.7,3698,32,8,246.5,159.2
C.J. Stroud,QB,Offense,Ohio St.,1,1,1,2023,13,66.3,3688,41,6,283.7,177.7
Aidan O'Connell,QB,Offense,Purdue,4,4,1,2023,12,64.1,3490,22,13,290.8,132.2
Bryce Young,QB,Offense,Alabama,1,1,1,2023,12,64.5,3328,32,5,277.3,163.2
Jaren Hall,QB,Offense,BYU,5,5,1,2023,12,66,3171,31,6,264.3,160.8
Dorian Thompson-Robinson,QB,Offense,UCLA,5,5,1,2023,13,69.6,3169,27,10,243.8,157.4
Hendon Hooker,QB,Offense,Tennessee,3,3,1,2023,11,69.6,3135,27,2,285,175.5
Tanner McKee,QB,Offense,Stanford,6,6,1,2023,12,62,2947,13,8,245.6,126.4
Jake Haener,QB,Offense,Fresno St.,4,4,1,2023,10,72,2896,20,3,289.6,158.6
Anthony Richardson,QB,Offense,Florida,1,1,1,2023,12,53.8,2549,17,9,212.4,131
Will Levis,QB,Offense,Kentucky,2,2,1,2023,11,65.4,2406,19,10,218.7,151.9
Malik Cunningham,QB,Offense,Louisville,,0,0,2023,10,62.4,1568,8,5,156.8,130.3
Bailey Zappe,QB,Offense,Western Kentucky,4,4,1,2022,14,69.1,5967,62,11,426.2,168.7
Kenny Pickett,QB,Offense,Pittsburgh,1,1,1,2022,13,67.2,4319,42,7,332.2,165.3
Carson Strong,QB,Offense,Nevada,,0,0,2022,12,70,4175,36,8,347.9,156.7
Matt Corral,QB,Offense,Mississippi,3,3,1,2022,13,67.9,3349,20,5,257.6,155.3
Desmond Ridder,QB,Offense,Cincinnati,3,3,1,2022,14,64.9,3334,30,8,238.1,158.7
Kaleb Eleby,QB,Offense,Western Michigan,,0,0,2022,13,63.4,3277,23,6,252.1,156.8
Dustin Crum,QB,Offense,Kent St.,,0,0,2022,14,64,3206,20,6,229,148.9
Brock Purdy,QB,Offense,Iowa St.,7,7,1,2022,13,71.7,3188,19,8,245.2,149
Jack Coan,QB,Offense,Notre Dame,,0,0,2022,13,65.5,3150,25,7,242.3,151.8
Sam Howell,QB,Offense,North Carolina,5,5,1,2022,12,62.5,3056,24,9,254.7,154.2
Malik Willis,QB,Offense,Liberty,3,3,1,2022,13,61.1,2862,27,12,220.2,151.2
Skylar Thompson,QB,Offense,Kansas St.,7,7,1,2022,10,69.5,2113,12,4,211.3,159.3
D'Eriq King,QB,Offense,Miami,,0,0,2022,3,66.4,767,3,4,255.7,120.8
Mac Jones,QB,Offense,Alabama,1,1,1,2021,13,77.4,4500,41,4,346.2,203.1
Kyle Trask,QB,Offense,Florida,2,2,1,2021,12,68.9,4283,43,8,356.9,180
Zach Wilson,QB,Offense,BYU,1,1,1,2021,12,73.5,3692,33,3,307.7,196.4
Brady White,QB,Offense,Memphis,,0,0,2021,11,60.5,3380,31,10,307.3,147.7
Trevor Lawrence,QB,Offense,Clemson,1,1,1,2021,10,69.2,3153,24,5,315.3,169.2
Ian Book,QB,Offense,Notre Dame,4,4,1,2021,12,64.6,2830,15,3,235.8,144.3
Sam Ehlinger,QB,Offense,Texas,6,6,1,2021,10,60.2,2566,26,5,256.6,150.7
Zac Thomas,QB,Offense,Appalachian St.,,0,0,2021,12,63.9,2189,20,11,182.4,142.2
Feleipe Franks,QB,Offense,Arkansas,,0,0,2021,10,68.5,2107,17,4,210.7,163.1
Justin Fields,QB,Offense,Ohio St.,1,1,1,2021,8,70.2,2100,22,6,262.5,175.6
Zach Smith,QB,Offense,Tulsa,,0,0,2021,9,55.9,1947,13,10,216.3,126.8
Peyton Ramsey,QB,Offense,Northwestern,,0,0,2021,9,61,1733,12,8,192.6,121
Davis Mills,QB,Offense,Stanford,3,3,1,2021,5,66.2,1508,7,3,301.6,139.9
